
   INFO  Server running on [http://127.0.0.1:8081].  

  Press Ctrl+C to stop the server
  2026-06-20 10:23:58 /api/v1/user/me ................................................ ~ 1.05ms
  2026-06-20 10:23:59 /api/v1/user/logs .............................................. ~ 0.43ms
  2026-06-20 10:23:59 /api/v1/user/me ................................................ ~ 0.11ms
  2026-06-20 10:23:59 /api/v1/user/logs .............................................. ~ 0.79ms
  2026-06-20 10:23:59 /api/v1/user/profiles ........................................ ~ 506.30ms
  2026-06-20 10:23:59 /api/v1/user/profiles ........................................ ~ 505.37ms
  2026-06-20 10:23:59 /api/v1/admin/billing/invoices ................................. ~ 0.02ms
  2026-06-20 10:23:59 /api/v1/admin/menu-config ...................................... ~ 0.02ms
  2026-06-20 10:24:02 /api/v1/node/nodes/heartbeat ................................... ~ 3.86ms
  2026-06-20 10:24:02 /api/v1/node/resolver/config ................................... ~ 3.23ms
  2026-06-20 10:24:02 /api/v1/node/resolver/config ................................... ~ 0.01ms
  2026-06-20 10:24:09 /api/v1/internal/geodns/health-view .......................... ~ 300.71ms
  2026-06-20 10:24:24 /api/v1/internal/geodns/health-view ............................ ~ 1.06ms
  2026-06-20 10:24:32 /api/v1/node/resolver/config ................................... ~ 0.23ms
  2026-06-20 10:24:32 /api/v1/node/nodes/heartbeat ................................... ~ 0.40ms
  2026-06-20 10:24:32 /api/v1/node/resolver/config ................................... ~ 0.01ms
  2026-06-20 10:24:39 /api/v1/internal/geodns/health-view .......................... ~ 501.58ms
  2026-06-20 10:24:54 /api/v1/internal/geodns/health-view ............................ ~ 0.27ms
  2026-06-20 10:25:02 /api/v1/node/nodes/heartbeat ................................... ~ 0.48ms
  2026-06-20 10:25:02 /api/v1/node/resolver/config ................................... ~ 0.03ms
  2026-06-20 10:25:02 /api/v1/node/resolver/config ................................... ~ 0.02ms
  2026-06-20 10:25:09 /api/v1/internal/geodns/health-view ............................ ~ 0.39ms
  2026-06-20 10:25:24 /api/v1/internal/geodns/health-view ............................ ~ 1.00ms
  2026-06-20 10:25:32 /api/v1/node/resolver/config ................................... ~ 0.36ms
  2026-06-20 10:25:32 /api/v1/node/nodes/heartbeat ................................... ~ 0.53ms
  2026-06-20 10:25:32 /api/v1/node/resolver/config ................................... ~ 0.01ms
  2026-06-20 10:25:39 /api/v1/internal/geodns/health-view ............................ ~ 0.16ms
  2026-06-20 10:25:54 /api/v1/internal/geodns/health-view .......................... ~ 501.92ms
  2026-06-20 10:26:02 /api/v1/node/nodes/heartbeat ................................... ~ 0.25ms
  2026-06-20 10:26:02 /api/v1/node/resolver/config ................................... ~ 0.01ms
  2026-06-20 10:26:02 /api/v1/node/resolver/config ................................... ~ 0.01ms
  2026-06-20 10:26:06 /api/v1/admin/system-config .................................... ~ 0.71ms
  2026-06-20 10:26:09 /api/v1/internal/geodns/health-view ............................ ~ 0.29ms
  2026-06-20 10:26:24 /api/v1/internal/geodns/health-view ............................ ~ 0.38ms
  2026-06-20 10:26:32 /api/v1/node/resolver/config ................................... ~ 0.49ms
  2026-06-20 10:26:32 /api/v1/node/nodes/heartbeat ................................... ~ 0.64ms
  2026-06-20 10:26:32 /api/v1/node/resolver/config ................................... ~ 0.01ms
  2026-06-20 10:26:39 /api/v1/internal/geodns/health-view ............................ ~ 0.74ms
  2026-06-20 10:26:54 /api/v1/internal/geodns/health-view ............................ ~ 0.90ms
  2026-06-20 10:27:02 /api/v1/node/nodes/heartbeat ................................... ~ 0.35ms
  2026-06-20 10:27:02 /api/v1/node/resolver/config ................................... ~ 0.49ms
  2026-06-20 10:27:02 /api/v1/node/resolver/config ................................... ~ 0.01ms
  2026-06-20 10:27:09 /api/v1/internal/geodns/health-view ............................ ~ 0.27ms
  2026-06-20 10:27:24 /api/v1/internal/geodns/health-view ............................ ~ 0.32ms
  2026-06-20 10:27:32 /api/v1/node/nodes/heartbeat ................................... ~ 0.42ms
  2026-06-20 10:27:32 /api/v1/node/resolver/config ................................... ~ 0.75ms
  2026-06-20 10:27:32 /api/v1/node/resolver/config ................................... ~ 0.03ms
  2026-06-20 10:27:39 /api/v1/internal/geodns/health-view ............................ ~ 0.70ms
  2026-06-20 10:27:54 /api/v1/internal/geodns/health-view ............................ ~ 0.92ms
  2026-06-20 10:28:02 /api/v1/node/nodes/heartbeat ................................... ~ 0.57ms
  2026-06-20 10:28:02 /api/v1/node/resolver/config ................................... ~ 2.87ms
  2026-06-20 10:28:02 /api/v1/node/resolver/config ................................... ~ 0.04ms
  2026-06-20 10:28:09 /api/v1/internal/geodns/health-view ............................ ~ 0.39ms
  2026-06-20 10:28:11 /api/v1/user/me ................................................ ~ 1.03ms
  2026-06-20 10:28:11 /api/v1/user/security .......................................... ~ 0.03ms
  2026-06-20 10:28:11 /api/v1/user/profiles .......................................... ~ 0.02ms
  2026-06-20 10:28:11 /api/v1/user/security .......................................... ~ 0.09ms
  2026-06-20 10:28:12 /api/v1/user/me .............................................. ~ 503.66ms
  2026-06-20 10:28:12 /api/v1/user/catalogs ........................................ ~ 503.97ms
  2026-06-20 10:28:12 /api/v1/user/profiles .......................................... ~ 0.03ms
  2026-06-20 10:28:12 /api/v1/user/privacy ........................................... ~ 0.02ms
  2026-06-20 10:28:13 /api/v1/user/privacy ........................................... ~ 0.10ms
  2026-06-20 10:28:18 /api/v1/user/privacy ........................................... ~ 0.82ms
  2026-06-20 10:28:20 /api/v1/user/me ................................................ ~ 0.08ms
  2026-06-20 10:28:20 /api/v1/user/catalogs .......................................... ~ 0.02ms
  2026-06-20 10:28:20 /api/v1/user/profiles .......................................... ~ 0.03ms
  2026-06-20 10:28:20 /api/v1/user/privacy ........................................... ~ 0.26ms
  2026-06-20 10:28:20 /api/v1/user/privacy ........................................... ~ 0.10ms
  2026-06-20 10:28:24 /api/v1/internal/geodns/health-view .......................... ~ 536.35ms
  2026-06-20 10:28:32 /api/v1/node/resolver/config ................................... ~ 0.84ms
  2026-06-20 10:28:32 /api/v1/node/nodes/heartbeat ................................... ~ 1.11ms
  2026-06-20 10:28:32 /api/v1/node/resolver/config ................................... ~ 0.01ms
  2026-06-20 10:28:39 /api/v1/internal/geodns/health-view ............................ ~ 1.13ms
  2026-06-20 10:28:50 /api/v1/user/privacy ........................................... ~ 0.47ms
  2026-06-20 10:28:53 /api/v1/user/me ................................................ ~ 0.10ms
  2026-06-20 10:28:53 /api/v1/user/catalogs .......................................... ~ 0.42ms
  2026-06-20 10:28:53 /api/v1/user/profiles ........................................ ~ 505.06ms
  2026-06-20 10:28:53 /api/v1/user/privacy ........................................... ~ 0.02ms
  2026-06-20 10:28:53 /api/v1/user/privacy ........................................... ~ 0.10ms
  2026-06-20 10:28:54 /api/v1/internal/geodns/health-view ............................ ~ 0.09ms
